"Barnacles" "Algae" "Mussels" "Rock" "T" "Wave"
86.94 72.46 7.03 5.94 15.6 0.642857142857143
81.51 71.37 10.5 7.85 17.441935483871 0.942857142857143
78.47 68.95 16.35 5.21 19.5838709677419 1.33548387096774
53.6 74.62 41.57 4.91 20.2178571428571 1.66785714285714
34.62 74.97 60.6 4.87 20.241935483871 1.62903225806452
17.85 70.4 74.68 8.39 19.6966666666667 1.49655172413793
8.44 47.45 82.38 9.43 18.2451612903226 1.35161290322581
12.23 17.53 79.41 8.57 16.66 1.18666666666667
23.73 11.2 67.46 8.49 14.6935483870968 1.18148148148148
32.83 11.39 58.01 8.78 14.0258064516129 1.80666666666667
33.77 9.5 55.45 10.95 14.6833333333333 1.01333333333333
35.29 8.22 51.6 13.47 15.2387096774194 1.2741935483871
47.19 4.68 37.11 15.53 16.34 0.868333333333333
50.53 4.13 28.4 21.23 18.0387096774194 1.05
56.27 1.33 22.88 20.33 20.2193548387097 1.07096774193548
50.33 2.98 14.04 35.88 18.9103448275862 1.28793103448276
41.1 1.33 16.34 42.78 18.4967741935484 1.07741935483871
37.53 1.37 19.76 43.19 17.8166666666667 1.36190476190476
50.69 1.55 27.18 22.1 17.0645161290323 1.30967741935484
59.58 1.73 25.85 14.77 15.61 1.01
67.93 2.76 25.75 6.17 13.9677419354839 1.14137931034483
61.94 4.48 29.77 8.31 13.2612903225806 0.92258064516129
70.53 9.35 21.94 6.97 13.6733333333333 0.996666666666667
61.84 17.23 29.29 8.72 14.8064516129032 0.835483870967742
59.21 17.32 29.19 11.68 16.4966666666667 1.13666666666667
51.83 21.56 33.85 14.85 15.6387096774194 0.832258064516129
50.46 18.41 38.22 13.47 18.4225806451613 1.49310344827586
48.41 18.19 41.53 9.99 20.7714285714286 1.66666666666667
48.1 24.14 39.88 11.91 20.8290322580645 1.3
33.22 25.7 60.12 6.85 19.65 0.992857142857143
29.9 17.03 65.25 5.36 18.1193548387097 1.24516129032258
35.65 15.42 56.14 8.33 16.0166666666667 1.15666666666667
31.2 12.81 53.05 17.63 15.1838709677419 1.15806451612903
29.57 12.07 56.71 17.71 14.4806451612903 1.43548387096774
29.75 11.42 61.81 19.66 14.8966666666667 1.17
29.3 10.76 65 25.08 15.541935483871 1.09032258064516
26.2 10.09 45 32.39 17.3733333333333 1.00333333333333
26.24 9.38 37.55 40.02 18.1903225806452 1.11290322580645
28.82 8.62 26.39 46.35 19.441935483871 1.23225806451613
28.9 7.66 19.87 50.42 20.8642857142857 1.50107142857143
45.66 7.59 16.02 38.03 19.8 1.32903225806452
52.35 10.38 11.7 36.15 19.0366666666667 1.48
57.58 22.74 8.04 34.5 17.6645161290323 1.1741935483871
70.26 35.29 6.43 23.84 15.2166666666667 1.32
81.43 53.01 4.15 13.92 13.7290322580645 1.14730769230769
87.8 66.6 2.31 8.9 13.5935483870968 1.10967741935484
93.58 83.45 1.45 5.09 14.6066666666667 1.06666666666667
94.86 84.56 3 2.66 15.2096774193548 0.871428571428571
93.34 83.61 3 3.66 15.6033333333333 1.24
91.51 81.74 3 5.38 16.6193548387097 0.741935483870968
86.1 70.39 3.29 10.68 18.7677419354839 1.03225806451613
81.18 50.33 4.49 14.42 20.2607142857143 1.38214285714286
84.97 38.82 6.42 8.57 20.0290322580645 1.63870967741935
85.11 26.2 9.19 5.35 19.0533333333333 1.19642857142857
81.26 27.22 15.88 2.65 17.9612903225806 1.0258064516129
78.32 54.67 21.61 0.17 16.0833333333333 1.30666666666667
78.69 70.85 21.31 0 14.5741935483871 1.5741935483871
81.8 79.32 18.2 0 14.1645161290323 1.2
80.14 84.08 18.78 0.83 14.5933333333333 1.52333333333333
75.08 76.97 22.47 2.35 14.9258064516129 0.8875
71.17 55.89 25.91 2.88 16.4633333333333 1.264
73.73 44.62 21.49 4.93 18.2193548387097 1.53225806451613
72.95 25.2 21.26 5.91 20.7129032258065 1.71612903225806
68.82 19.25 23.08 8.12 21.0724137931034 1.62413793103448
65.71 11.97 27.78 5.98 20.958064516129 1.55161290322581
62.75 15.97 32.85 3.95 19.9533333333333 1.64
55.44 17.85 40.37 4.09 18.84 0.94
